1	1/SN
기하학적인	기하학적/NNG + 이/VCP + ㄴ/ETM
고찰을	고찰/NNG + 을/JKO
통해	통하/VV + 아/EC
그것이	그것/NP + 이/JKS
속도의	속도/NNG + 의/JKG
제곱에	제곱/NNG + 에/JKB
비례하고	비례/NNG + 하/XSV + 고/EC
원의	원/NNG + 의/JKG
직경에	직경/NNG + 에/JKB
반비례함을	반비례/NNG + 하/XSV + ㅁ/ETN + 을/JKO
보였다.	보이/VV + 었/EP + 다/EF + ./SF

끝으로	끝/NNG + 으로/JKB
원심력과	원심력/NNG + 과/JC
중력과의	중력/NNG + 과/JKB + 의/JKG
정량적인	정량적/NNG + 이/VCP + ㄴ/ETM
비교를	비교/NNG + 를/JKO
통해서	통하/VV + 아서/EC
그는	그/NP + 는/JX
원심력에	원심력/NNG + 에/JKB
대해	대하/VV + 아/EC
오늘날	오늘날/NNG
우리가	우리/NP + 가/JKS
사용하는	사용/NNG + 하/XSV + 는/ETM
식에	식/NNG + 에/JKB
나타나는	나타나/VV + 는/ETM
관계를	관계/NNG + 를/JKO
얻어낼	얻/VV + 어/EC + 내/VX + ㄹ/ETM
수	수/NNB
있었다.	있/VV + 었/EP + 다/EF + ./SF

이에	이/NP + 에/JKB
반해	반하/VV + 아/EC
데카르트와	데카르트/NNP + 와/JC
호이겐스는	호이겐스/NNP + 는/JX
원운동을	원운동/NNG + 을/JKO
하는	하/VV + 는/ETM
물체가	물체/NNG + 가/JKS
지닌	지니/VV + ㄴ/ETM
원심적	원심적/NNG
경향을	경향/NNG + 을/JKO
주목하며	주목/NNG + 하/XSV + 며/EC
그것이	그것/NP + 이/JKS
원운동의	원운동/NNG + 의/JKG
제약을	제약/NNG + 을/JKO
풀어	풀/VV + 어/EC
주었을	주/VX + 었/EP + 을/ETM
때	때/NNG
원운동으로부터	원운동/NNG + 으로부터/JKB
벗어나서	벗어나/VV + 아서/EC
접선방향의	접선/NNG + 방향/NNG + 의/JKG
운동을	운동/NNG + 을/JKO
하게	하/VV + 게/EC
하는	하/VX + 는/ETM
힘임을	힘/NNG + 이/VCP + ㅁ/ETN + 을/JKO
주목하는	주목/NNG + 하/XSV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

고대	고대/NNG
이래	이래/NNB
줄곧	줄곧/MAG
특수한	특수/NNG + 하/XSA + ㄴ/ETM
위치를	위치/NNG + 를/JKO
차지해	차지/NNG + 하/XSV + 아/EC
온	오/VX + ㄴ/ETM
원운동의	원운동/NNG + 의/JKG
중요성이	중요성/NNG + 이/JKS
쉽게	쉽/VA + 게/EC
소멸되지	소멸/NNG + 되/XSV + 지/EC
않았음을	않/VX + 았/EP + 음/ETN + 을/JKO
보여주는	보이/VV + 어/EC + 주/VX + 는/ETM
셈이다.	셈/NNB + 이/VCP + 다/EF + ./SF

4	4/SN

호이겐스는	호이겐스/NNP + 는/JX
데카르트의	데카르트/NNP + 의/JKG
충돌법칙의	충돌/NNG + 법칙/NNG + 의/JKG
오류를	오류/NNG + 를/JKO
지적했을	지적/NNG + 하/XSV + 았/EP + 을/ETM
뿐만	뿐/NNB + 만/JX
아니라	아니/VCN + 라/EC
그것을	그것/NP + 을/JKO
대체할	대체/NNG + 하/XSV + ㄹ/ETM
새로운	새롭/VA + ㄴ/ETM
법칙들을	법칙/NNG + 들/XSN + 을/JKO
제시하기도	제시/NNG + 하/XSV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

그리고	그리고/MAJ
그의	그/NP + 의/JKG
새로운	새롭/VA + ㄴ/ETM
충돌법칙들을	충돌/NNG + 법칙/NNG + 들/XSN + 을/JKO
그가	그/NP + 가/JKS
데카르트의	데카르트/NNP + 의/JKG
법칙들의	법칙/NNG + 들/XSN + 의/JKG
오류를	오류/NNG + 를/JKO
지적하는	지적/NNG + 하/XSV + 는/ETM
데	데/NNB
사용했던	사용/NNG + 하/XSV + 았/EP + 던/ETM
운동의	운동/NNG + 의/JKG
상대성의	상대성/NNG + 의/JKG
관념에	관념/NNG + 에/JKB
의해서	의하/VV + 아서/EC
얻어졌다.	얻/VV + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

한편	한편/NNG
두	두/MM
물체의	물체/NNG + 의/JKG
크기가	크기/NNG + 가/JKS
다른	다르/VA + ㄴ/ETM
경우에	경우/NNG + 에/JKB
있어서도	있/VV + 어서/EC + 도/JX
그는	그/NP + 는/JX
표준적인	표준적/NNG + 이/VCP + ㄴ/ETM
경우를	경우/NNG + 를/JKO
가정했다.	가정/NNG + 하/XSV + 았/EP + 다/EF + ./SF

즉	즉/MAG
두	두/MM
물체의	물체/NNG + 의/JKG
중력의	중력/NNG + 의/JKG
중심을	중심/NNG + 을/JKO
기준으로	기준/NNG + 으로/JKB
하면	하/VV + 면/EC
두	두/MM
물체의	물체/NNG + 의/JKG
속도는	속도/NNG + 는/JX
항상	항상/MAG
그것들의	그것/NP + 들/XSN + 의/JKG
크기-질량-에	크기/NNG + -/SS + 질량/NNG + -/SS + 에/JKB
반비례할	반비례/NNG + 하/XSV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

따라서	따라서/MAJ
충돌	충돌/NNG
후에	후/NNG + 에/JKB
물체들은	물체/NNG + 들/XSN + 은/JX
원래의	원래/NNG + 의/JKG
속도와	속도/NNG + 와/JC
같은	같/VA + 은/ETM
속도로	속도/NNG + 로/JKB
되튀어나가게	되튀/VV + 어/EC + 나가/VV + 게/EC
되고	되/VV + 고/EC
중력의	중력/NNG + 의/JKG
중심은	중심/NNG + 은/JX
아무런	아무런/MM
영향도	영향/NNG + 도/JX
받지	받/VV + 지/EC
않는	않/VX + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그리고	그리고/MAJ
이에	이/NP + 에/JKB
따라	따르/VV + 아/EC
충돌에	충돌/NNG + 에/JKB
있어서의	있/VV + 어서/EC + 의/JKG
힘의	힘/NNG + 의/JKG
동력학적인	동력학적/NNG + 이/VCP + ㄴ/ETM
작용에	작용/NNG + 에/JKB
대해	대하/VV + 아/EC
고려할	고려/NNG + 하/XSV + ㄹ/ETM
필요가	필요/NNG + 가/JKS
없는	없/VA + 는/ETM
충돌에	충돌/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
순전히	순전히/MAG
운동학(kinematics)적인	운동학/NNG + (/SS + kinematics/SL + )/SS + 적/NNG + 이/VCP + ㄴ/ETM
취급이	취급/NNG + 이/JKS
가능해진	가능/NNG + 하/XSA + 아/EC + 지/VX + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이같은	이/NP + 같/VA + 은/ETM
호이겐스의	호이겐스/NNP + 의/JKG
순전히	순전히/MAG
운동학적인	운동학적/NNG + 이/VCP + ㄴ/ETM
역학은	역학/NNG + 은/JX
라이프니츠까지	라이프니츠/NNP + 까지/JX
계속되지는	계속/NNG + 되/XSV + 지/EC + 는/JX
않았다.	않/VX + 았/EP + 다/EF + ./SF

이것은	이것/NP + 은/JX
힘을	힘/NNG + 을/JKO
운동하는	운동/NNG + 하/XSV + 는/ETM
물체가	물체/NNG + 가/JKS
지니고	지니/VV + 고/EC
있는	있/VX + 는/ETM
어떤	어떤/MM
것이라고	것/NNB + 이/VCP + 라고/EC
보는	보/VV + 는/ETM
기계적	기계적/NNG
철학의	철학/NNG + 의/JKG
독특한	독특/NNG + 하/XSA + ㄴ/ETM
전제가	전제/NNG + 가/JKS
데카르트,	데카르트/NNP + ,/SP
호이겐스를	호이겐스/NNP + 를/JKO
거쳐	거치/VV + 어/EC
라이프니츠에까지	라이프니츠/NNP + 에/JKB + 까지/JX
계속	계속/MAG
나타났음을	나타나/VV + 았/EP + 음/ETN + 을/JKO
보여준다.	보이/VV + 어/EC + 주/VX + ㄴ다/EF + ./SF

그리고	그리고/MAJ
힘에	힘/NNG + 에/JKB
관해	관하/VV + 아/EC
그와	그/NP + 와/JKB
같은	같/VA + 은/ETM
개념을	개념/NNG + 을/JKO
지니고	지니/VV + 고/EC
있는	있/VX + 는/ETM
한	한/NNG
뉴튼식의	뉴튼/NNP + 식/NNB + 의/JKG
동역학은	동역학/NNG + 은/JX
출현할	출현/NNG + 하/XSV + ㄹ/ETM
수가	수/NNB + 가/JKS
없었던	없/VA + 었/EP + 던/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

5	5/SN

데카르트,	데카르트/NNP + ,/SP
호이겐스,	호이겐스/NNP + ,/SP
라이프니츠	라이프니츠/NNP
등에서	등/NNB + 에서/JKB
나타나는	나타나/VV + 는/ETM
힘에	힘/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
이같은	이/NP + 같/VA + 은/ETM
개념은	개념/NNG + 은/JX
기계적	기계적/NNG
철학에의	철학/NNG + 에/JKB + 의/JKG
집착이	집착/NNG + 이/JKS
17세기의	17/SN + 세기/NNG + 의/JKG
역학에	역학/NNG + 에/JKB
가한	가하/VV + ㄴ/ETM
제약들	제약/NNG + 들/XSN
중의	중/NNB + 의/JKG
한	한/MM
가지를	가지/NNB + 를/JKO
잘	잘/MAG
보여준다.	보이/VV + 어/EC + 주/VX + ㄴ다/EF + ./SF

물론	물론/MAG
기계적	기계적/NNG
철학은	철학/NNG + 은/JX
외부	외부/NNG
자연세계의	자연/NNG + 세계/NNG + 의/JKG
모든	모든/MM
현상을	현상/NNG + 을/JKO
물질과	물질/NNG + 과/JC
그것의	그것/NP + 의/JKG
운동으로만	운동/NNG + 으로/JKB + 만/JX
설명함으로써	설명/NNG + 하/XSV + ㅁ/ETN + 으로써/JKB
17세기를	17/SN + 세기/NNG + 를/JKO
통해	통하/VV + 아/EC
운동에	운동/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
관심과	관심/NNG + 과/JC
이해를	이해/NNG + 를/JKO
높이는	높이/VV + 는/ETM
데	데/NNB
크게	크/VA + 게/EC
기여했다.	기여/NNG + 하/XSV + 았/EP + 다/EF + ./SF

데카르트	데카르트/NNP
같은	같/VA + 은/ETM
사람의	사람/NNG + 의/JKG
역학에의	역학/NNG + 에/JKB + 의/JKG
관심은	관심/NNG + 은/JX
거의	거의/MAG
전적으로	전적/NNG + 으로/JKB
그의	그/NP + 의/JKG
기계적	기계적/NNG
철학으로부터	철학/NNG + 으로부터/JKB
연유했다고	연유/NNG + 하/XSV + 았/EP + 다고/EC
할	하/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
본질적으로는	본질적/NNG + 으로/JKB + 는/JX
이렇게	이렇/VA + 게/EC
역학의	역학/NNG + 의/JKG
발전에	발전/NNG + 에/JKB
긍정적이었던	긍정적/NNG + 이/VCP + 었/EP + 던/ETM
기계적	기계적/NNG
철학의	철학/NNG + 의/JKG
영향이	영향/NNG + 이/JKS
실제	실제/NNG
역학의	역학/NNG + 의/JKG
세부적인	세부적/NNG + 이/VCP + ㄴ/ETM
발전에	발전/NNG + 에/JKB
있어서는	있/VV + 어서/EC + 는/JX
반드시	반드시/MAG
긍정적이라고는	긍정적/NNG + 이/VCP + 라고/EC + 는/JX
볼	보/VV + ㄹ/ETM
수	수/NNB
없는	없/VA + 는/ETM
여러	여러/MM
면들	면/NNG + 들/XSN
보였고,	보이/VV + 었/EP + 고/EC + ,/SP
특히	특히/MAG
후에는	후/NNG + 에/JKB + 는/JX
뉴튼의	뉴튼/NNP + 의/JKG
역학이	역학/NNG + 이/JKS
택한	택하/VV + ㄴ/ETM
것과는	것/NNB + 과/JKB + 는/JX
근본적으로	근본적/NNG + 으로/JKB
상반되는	상반/NNG + 되/XSV + 는/ETM
방향으로	방향/NNG + 으로/JKB
17	17/SN
세기	세기/NNG
역학을	역학/NNG + 을/JKO
이끌고	이끌/VV + 고/EC
간	가/VX + ㄴ/ETM
면이	면/NNG + 이/JKS
없지	없/VA + 지/EC
않다.	않/VX + 다/EF + ./SF

앞	앞/NNG
절에서	절/NNG + 에서/JKB
본	보/VV + ㄴ/ETM
힘에	힘/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
기계적	기계적/NNG
철학의	철학/NNG + 의/JKG
독특한	독특/NNG + 하/XSA + ㄴ/ETM
개념은	개념/NNG + 은/JX
그	그/MM
좋은	좋/VA + 은/ETM
예인	예/NNG + 이/VCP + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

물론	물론/MAG
기계적	기계적/NNG
철학자들은	철학자/NNG + 들/XSN + 은/JX
힘의	힘/NNG + 의/JKG
작용이	작용/NNG + 이/JKS
물체의	물체/NNG + 의/JKG
운동에	운동/NNG + 에/JKB
변화를	변화/NNG + 를/JKO
가함을	가하/VV + ㅁ/ETN + 을/JKO
알고	알/VV + 고/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

그러나	그러나/MAJ
앞에서	앞/NNG + 에서/JKB
본	보/VV + ㄴ/ETM
대로	대로/NNB
그들은	그/NP + 들/XSN + 은/JX
이런	이런/MM
작용이	작용/NNG + 이/JKS
충돌에	충돌/NNG + 에/JKB
의해서만	의하/VV + 아서/EC + 만/JX
가해진다고	가하/VV + 아/EC + 지/VX + ㄴ다고/EC
믿었다.	믿/VV + 었/EP + 다/EF + ./SF

그런데	그런데/MAJ
충돌에	충돌/NNG + 에/JKB
의해서	의하/VV + 아서/EC
가해지는	가하/VV + 아/EC + 지/VX + 는/ETM
힘이란	힘/NNG + 이란/JX
운동하는	운동/NNG + 하/XSV + 는/ETM
물체가	물체/NNG + 가/JKS
그	그/MM
운동을	운동/NNG + 을/JKO
계속하려고	계속/NNG + 하/XSV + 려고/EC
하는	하/VX + 는/ETM
경향을	경향/NNG + 을/JKO
다른	다른/MM
물체에	물체/NNG + 에/JKB
의해	의하/VV + 아/EC
방해받을	방해/NNG + 받/VV + 을/ETM
때	때/NNG
나타내	나타내/VV + 어/EC
주는	주/VX + 는/ETM
힘이고	힘/NNG + 이/VCP + 고/EC
결국	결국/NNG
운동하는	운동/NNG + 하/XSV + 는/ETM
물체가	물체/NNG + 가/JKS
그	그/MM
운동	운동/NNG
때문에	때문/NNB + 에/JKB
지니는	지니/VV + 는/ETM
힘인	힘/NNG + 이/VCP + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

따라서	따라서/MAJ
기계적	기계적/NNG
철학자들은	철학자/NNG + 들/XSN + 은/JX
힘이	힘/NNG + 이/JKS
운동하는	운동/NNG + 하/XSV + 는/ETM
물체가	물체/NNG + 가/JKS
지니는	지니/VV + 는/ETM
경향임에도	경향/NNG + 이/VCP + ㅁ/ETN + 에/JKB + 도/JX
주목하고	주목/NNG + 하/XSV + 고/EC
그러한	그러/XR + 하/XSA + ㄴ/ETM
힘이	힘/NNG + 이/JKS
물체에	물체/NNG + 에/JKB
작용해서	작용/NNG + 하/XSV + 아서/EC
그	그/MM
운동을	운동/NNG + 을/JKO
변화시키는	변화/NNG + 시키/XSV + 는/ETM
것임에도	것/NNB + 이/VCP + ㅁ/ETN + 에/JKB + 도/JX
주의를	주의/NNG + 를/JKO
기울이지	기울이/VV + 지/EC
않게	않/VX + 게/EC
되었다.	되/VV + 었/EP + 다/EF + ./SF

기계적	기계적/NNG
철학이	철학/NNG + 이/JKS
운동을	운동/NNG + 을/JKO
변화시키는	변화/NNG + 시키/XSV + 는/ETM
작용으로서	작용/NNG + 으로서/JKB
충돌만을	충돌/NNG + 만/JX + 을/JKO
지나치게	지나치/VA + 게/EC
강조한	강조/NNG + 하/XSV + ㄴ/ETM
사실은	사실/NNG + 은/JX
이보다	이/NP + 보다/JKB
좀더	좀/MAG + 더/MAG
직접적인	직접적/NNG + 이/VCP + ㄴ/ETM
형태로도	형태/NNG + 로/JKB + 도/JX
17세기의	17/SN + 세기/NNG + 의/JKG
역학과	역학/NNG + 과/JC
힘의	힘/NNG + 의/JKG
개념의	개념/NNG + 의/JKG
발전을	발전/NNG + 을/JKO
뉴튼	뉴튼/NNP
역학과	역학/NNG + 과/JKB
다른	다르/VA + ㄴ/ETM
방향으로	방향/NNG + 으로/JKB
몰고	몰/VV + 고/EC
갔다.	가/VV + 았/EP + 다/EF + ./SF

따라서	따라서/MAJ
기계적	기계적/NNG
철학자들이	철학자/NNG + 들/XSN + 이/JKS
이같은	이/NP + 같/VA + 은/ETM
힘에	힘/NNG + 에/JKB
바탕한	바탕/NNG + 하/XSV + ㄴ/ETM
뉴튼식의	뉴튼/NNP + 식/NNB + 의/JKG
역학을	역학/NNG + 을/JKO
발전시키는	발전/NNG + 시키/XSV + 는/ETM
것은	것/NNB + 은/JX
극히	극히/MAG
어려운	어렵/VA + ㄴ/ETM
일이었을	일/NNG + 이/VCP + 었/EP + 을/ETM
것임은	것/NNB + 이/VCP + ㅁ/ETN + 은/JX
쉽게	쉽/VA + 게/EC
알	알/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

뿐만	뿐/NNB + 만/JX
아니라	아니/VCN + 라/EC
일단	일단/MAG
뉴튼의	뉴튼/NNP + 의/JKG
새로운	새롭/VA + ㄴ/ETM
역학이	역학/NNG + 이/JKS
출현하고	출현/NNG + 하/XSV + 고/EC
케플러의	케플러/NNP + 의/JKG
법칙	법칙/NNG
등을	등/NNB + 을/JKO
포함한	포함/NNG + 하/XSV + ㄴ/ETM
천체의	천체/NNG + 의/JKG
운동을	운동/NNG + 을/JKO
성공적으로	성공적/NNG + 으로/JKB
기술해	기술/NNG + 하/XSV + 아/EC
준	주/VX + ㄴ/ETM
후에도	후/NNG + 에/JKB + 도/JX
이같은	이/NP + 같/VA + 은/ETM
만유인력의	만유인력/NNG + 의/JKG
개념은	개념/NNG + 은/JX
기계적	기계적/NNG
철학의	철학/NNG + 의/JKG
전통이	전통/NNG + 이/JKS
철저했던	철저/NNG + 하/XSA + 았/EP + 던/ETM
프랑스의	프랑스/NNP + 의/JKG
역학자들이	역학자/NNG + 들/XSN + 이/JKS
뉴튼의	뉴튼/NNP + 의/JKG
역학을	역학/NNG + 을/JKO
받아들이는	받아들이/VV + 는/ETM
데	데/NNB
있어	있/VV + 어/EC
큰	크/VA + ㄴ/ETM
장애로서	장애/NNG + 로서/JKB
작용했던	작용/NNG + 하/XSV + 았/EP + 던/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

한편	한편/NNG
뉴튼이	뉴튼/NNP + 이/JKS
이처럼	이/NP + 처럼/JKB
기계적	기계적/NNG
철학이	철학/NNG + 이/JKS
크게	크/VA + 게/EC
떨치던	떨치/VV + 던/ETM
시기에	시기/NNG + 에/JKB
그것의	그것/NP + 의/JKG
전제와	전제/NNG + 와/JKB
상반되는	상반/NNG + 되/XSV + 는/ETM
인력의	인력/NNG + 의/JKG
개념을	개념/NNG + 을/JKO
얻어내게	얻/VV + 어/EC + 내/VX + 게/EC
된	되/VV + ㄴ/ETM
배경으로는	배경/NNG + 으로/JKB + 는/JX
헤르메티씨즘의	헤르메티씨즘/NNG + 의/JKG
전통을	전통/NNG + 을/JKO
들	들/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

앞에서도	앞/NNG + 에서/JKB + 도/JX
보았듯이	보/VV + 았/EP + 듯이/EC
우주를	우주/NNG + 를/JKO
신비적이고	신비적/NNG + 이/VCP + 고/EC
마술적인	마술적/NNG + 이/VCP + ㄴ/ETM
힘들로	힘/NNG + 들/XSN + 로/JKB
짜여진	짜이/VV + 어/EC + 지/VX + ㄴ/ETM
네트웍으로	네트웍/NNG + 으로/JKB
보고	보/VV + 고/EC
인간이	인간/NNG + 이/JKS
이	이/MM
힘들과	힘/NNG + 들/XSN + 과/JKB
서로	서로/MAG
작용해서	작용/NNG + 하/XSV + 아서/EC
자연세계의	자연/NNG + 세계/NNG + 의/JKG
현상들에	현상/NNG + 들/XSN + 에/JKB
영향을	영향/NNG + 을/JKO
미칠	미치/VV + ㄹ/ETM
수	수/NNB
있다고	있/VV + 다고/EC
믿었던	믿/VV + 었/EP + 던/ETM
헤르메티씨즘과	헤르메티씨즘/NNG + 과/JC
신플라톤주의의	신플라톤주의/NNG + 의/JKG
사조는	사조/NNG + 는/JX
15,	15/SN + ,/SP
16세기	16/SN + 세기/NNG
유럽에	유럽/NNP + 에/JKB
널리	널리/MAG
퍼져	퍼지/VV + 어/EC
있었고	있/VX + 었/EP + 고/EC
기계적	기계적/NNG
철학이	철학/NNG + 이/JKS
크게	크/VA + 게/EC
떨쳤던	떨치/VV + 었/EP + 던/ETM
17세기에도	17/SN + 세기/NNG + 에/JKB + 도/JX
소멸되지	소멸/NNG + 되/XSV + 지/EC
않고	않/VX + 고/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

케플러	케플러/NNP
같은	같/VA + 은/ETM
사람은	사람/NNG + 은/JX
행성이	행성/NNG + 이/JKS
태양	태양/NNG
주위를	주위/NNG + 를/JKO
도는	돌/VV + 는/ETM
이유를	이유/NNG + 를/JKO
그같은	그/NP + 같/VA + 은/ETM
신비스러운	신비/NNG + 스럽/XSA + ㄴ/ETM
힘으로부터	힘/NNG + 으로부터/JKB
찾으려	찾/VV + 으려/EC
했으며	하/VX + 았/EP + 으며/EC
후크	후크/NNP
같은	같/VA + 은/ETM
사람도	사람/NNG + 도/JX
같은	같/VA + 은/ETM
사조의	사조/NNG + 의/JKG
영향을	영향/NNG + 을/JKO
보이면서	보이/VV + 면서/EC
행성과	행성/NNG + 과/JC
태양	태양/NNG
사이의	사이/NNG + 의/JKG
인력에	인력/NNG + 에/JKB
대해서	대하/VV + 아서/EC
애기했었다.	애기/NNG + 하/XSV + 았었/EP + 다/EF + ./SF

이러한	이러/XR + 하/XSA + ㄴ/ETM
사조는	사조/NNG + 는/JX
뉴튼에게도	뉴튼/NNP + 에게/JKB + 도/JX
영향을	영향/NNG + 을/JKO
주었음에	주/VV + 었/EP + 음/ETN + 에/JKB
틀림없다.	틀림없/VA + 다/EF + ./SF

물론	물론/MAG
그는	그/NP + 는/JX
전체적인	전체적/NNG + 이/VCP + ㄴ/ETM
면에서는	면/NNG + 에서/JKB + 는/JX
기계적	기계적/NNG
철학을	철학/NNG + 을/JKO
받아들였지만	받아들이/VV + 었/EP + 지만/EC
데카르트나	데카르트/NNP + 나/JC
호이겐스	호이겐스/NNP
등과	등/NNB + 과/JKB
같은	같/VA + 은/ETM
철두철미한	철두철미/MAG + 하/XSV + ㄴ/ETM
기계적	기계적/NNG
철학자는	철학자/NNG + 는/JX
아니었고	아니/VCN + 었/EP + 고/EC
이것은	이것/NP + 은/JX
그가	그/NP + 가/JKS
많은	많/VA + 은/ETM
시간과	시간/NNG + 과/JC
노력을	노력/NNG + 을/JKO
연금술의	연금술/NNG + 의/JKG
이론과	이론/NNG + 과/JC
연금술	연금술/NNG
활동에	활동/NNG + 에/JKB
보냈던	보내/VV + 었/EP + 던/ETM
것으로부터	것/NNB + 으로부터/JKB
알	알/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

기계적	기계적/NNG
철학자들은	철학자/NNG + 들/XSN + 은/JX
충돌만을	충돌/NNG + 만/JX + 을/JKO
중요시	중요시/NNG
여겼을	여기/VV + 었/EP + 을/ETM
뿐	뿐/NNB
아니라	아니/VCN + 라/EC
충돌에	충돌/NNG + 에/JKB
의한	의하/VV + ㄴ/ETM
운동의	운동/NNG + 의/JKG
변화를	변화/NNG + 를/JKO
순간적인	순간적/NNG + 이/VCP + ㄴ/ETM
것으로	것/NNB + 으로/JKB
생각했다.	생각/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그들의	그/NP + 들/XSN + 의/JKG
관심의	관심/NNG + 의/JKG
대상은	대상/NNG + 은/JX
항상	항상/MAG
충돌	충돌/NNG
전과	전/NNG + 과/JC
충돌	충돌/NNG
후의	후/NNG + 의/JKG
운동의	운동/NNG + 의/JKG
차이였고	차이/NNG + 이/VCP + 었/EP + 고/EC
그	그/MM
차이가	차이/NNG + 가/JKS
어떤	어떤/MM
과정을	과정/NNG + 을/JKO
통해	통하/VV + 아/EC
일어나는가	일어나/VV + 는가/EF
하는	하/VV + 는/ETM
것은	것/NNB + 은/JX
문제시하지	문제시/NNG + 하/XSV + 지/EC
않았다.	않/VX + 았/EP + 다/EF + ./SF

이에	이/NP + 에/JKB
따라	따르/VV + 아/EC
그들은	그/NP + 들/XSN + 은/JX
충돌에	충돌/NNG + 에/JKB
의해	의하/VV + 아/EC
물체의	물체/NNG + 의/JKG
운동량의	운동량/NNG + 의/JKG
변화가	변화/NNG + 가/JKS
한꺼번에	한꺼번에/MAG
순간적으로	순간적/NNG + 으로/JKB
일어나는	일어나/VV + 는/ETM
것으로	것/NNB + 으로/JKB
생각하게	생각/NNG + 하/XSV + 게/EC
되었고	되/VV + 었/EP + 고/EC
따라서	따라서/MAJ
이때	이때/NNG
작용하는	작용/NNG + 하/XSV + 는/ETM
힘도	힘/NNG + 도/JX
순간적인	순간적/NNG + 이/VCP + ㄴ/ETM
것으로	것/NNB + 으로/JKB
생각하게	생각/NNG + 하/XSV + 게/EC
되었다.	되/VV + 었/EP + 다/EF + ./SF

즉	즉/MAG
힘이란	힘/NNG + 이란/JX
물체에	물체/NNG + 에/JKB
순간적으로	순간적/NNG + 으로/JKB
작용해서	작용/NNG + 하/XSV + 아서/EC
그	그/MM
운동을	운동/NNG + 을/JKO
순간적으로	순간적/NNG + 으로/JKB
변화시키는	변화/NNG + 시키/XSV + 는/ETM
것으로	것/NNB + 으로/JKB
이해된	이해/NNG + 되/XSV + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

더구나	더구나/MAG
그러한	그러/XR + 하/XSA + ㄴ/ETM
계속적인	계속적/NNG + 이/VCP + ㄴ/ETM
힘의	힘/NNG + 의/JKG
작용에	작용/NNG + 에/JKB
의한	의하/VV + ㄴ/ETM
속도의	속도/NNG + 의/JKG
계속적인	계속적/NNG + 이/VCP + ㄴ/ETM
변화	변화/NNG
같은	같/VA + 은/ETM
것은	것/NNB + 은/JX
더욱	더욱/MAG
취급하기가	취급/NNG + 하/XSV + 기/ETN + 가/JKS
힘들었던	힘들/VA + 었/EP + 던/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

물론	물론/MAG
17세기의	17/SN + 세기/NNG + 의/JKG
역학에	역학/NNG + 에/JKB
있어서의	있/VV + 어서/EC + 의/JKG
제약들이	제약/NNG + 들/XSN + 이/JKS
이처럼	이/NP + 처럼/JKB
순전히	순전히/MAG
기계적	기계적/NNG
철학으로부터만	철학/NNG + 으로부터/JKB + 만/JX
연유한	연유/NNG + 하/XSV + ㄴ/ETM
것은	것/NNB + 은/JX
아니었다.	아니/VCN + 었/EP + 다/EF + ./SF

아직	아직/MAG
역학의	역학/NNG + 의/JKG
여러	여러/MM
개념들이	개념/NNG + 들/XSN + 이/JKS
확고히	확고히/MAG
자리잡히지	자리/NNG + 잡히/VV + 지/EC
않은	않/VX + 은/ETM
상태에서	상태/NNG + 에서/JKB
오는	오/VV + 는/ETM
개념의	개념/NNG + 의/JKG
모호성이나	모호성/NNG + 이나/JC
부적확성도	부적확성/NNG + 도/JX
자주	자주/MAG
혼동을	혼동/NNG + 을/JKO
자아내었다.	자아내/VV + 었/EP + 다/EF + ./SF

갈릴레오,	갈릴레오/NNP + ,/SP
데카르트,	데카르트/NNP + ,/SP
호이겐스,	호이겐스/NNP + ,/SP
뉴튼	뉴튼/NNP
등의	등/NNB + 의/JKG
역학의	역학/NNG + 의/JKG
저술은	저술/NNG + 은/JX
모두	모두/MAG
유클리드	유클리드/NNP
기하학의	기하학/NNG + 의/JKG
방법을	방법/NNG + 을/JKO
통해서	통하/VV + 아서/EC
